SiteCode,Water,Light,Medium,Dark,DateTime,RosClass,GageDaily,GageWeekly,GageDiff,AirDaily,AirWeekly,AirDiff,In-Situ,Landsat 
NF-5,19.38888889,0,0,80.61111111,5/30/2015,B,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,8.182,20.43
NF-5,19.38888889,0,0,80.61111111,6/15/2015,B,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,NA,24.19
NF-5,19.38888889,0,0,80.61111111,7/1/2015,B,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,10.247,12.18
NF-5,19.38888889,0,0,80.61111111,8/11/2015,B,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,10.663,7.18
NF-5,19.38888889,0,0,80.61111111,8/18/2015,B,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,10.883,14.4
NF-5,19.38888889,0,0,80.61111111,9/12/2015,B,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,7.895,7.34
SF-1,61.36,36.64,2,0,5/30/2015,C,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,NA,17.16
SF-1,61.36,36.64,2,0,6/15/2015,C,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,14.84,23.2
SF-1,61.36,36.64,2,0,7/1/2015,C,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,13.329,12.7
SF-1,61.36,36.64,2,0,8/11/2015,C,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,20.698,14.35
SF-1,61.36,36.64,2,0,8/18/2015,C,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,14.002,14.23
SF-1,61.36,36.64,2,0,9/12/2015,C,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,10.124,8.57
SF-2,100,0,0,0,5/30/2015,C,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,NA,18.12
SF-2,100,0,0,0,6/15/2015,C,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,12.654,23.79
SF-2,100,0,0,0,7/1/2015,C,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,NA,7.54
SF-2,100,0,0,0,8/11/2015,C,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,12.122,14.72
SF-2,100,0,0,0,8/18/2015,C,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,11.734,14.12
SF-2,100,0,0,0,9/12/2015,C,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,8.469,7.98
SF-3,71.8512595,0,25.54978009,2.598960416,5/30/2015,B,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,16.141,18.13
SF-3,71.8512595,0,25.54978009,2.598960416,6/15/2015,B,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,13.257,23.75
SF-3,71.8512595,0,25.54978009,2.598960416,7/1/2015,B,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,11.686,10.05
SF-3,71.8512595,0,25.54978009,2.598960416,8/11/2015,B,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,12.727,14.26
SF-3,71.8512595,0,25.54978009,2.598960416,8/18/2015,B,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,12.001,14.06
SF-3,71.8512595,0,25.54978009,2.598960416,9/12/2015,B,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,8.792,7.52
