Spp,Length,Weight,Sex,Year,Month,Age,BCAge,BCLength
CCF,339,350,U,2015,May,,,
CCF,340,363,U,2015,May,,,
CCF,345,366,U,2015,May,,,
CCF,345,360,U,2015,May,,,
CCF,345,400,U,2015,May,,,
CCF,346,314,U,2015,May,,,
CCF,347,344,U,2015,May,,,
CCF,347,340,U,2015,May,,,
CCF,347,,U,2015,May,,,
CCF,348,,U,2015,May,,,
CCF,350,382,U,2015,May,,,
CCF,350,351,U,2015,May,,,
CCF,350,345,U,2015,May,,,
CCF,350,,U,2015,May,,,
CCF,350,,U,2015,May,,,
CCF,350,365,U,2015,May,,,
CCF,351,,U,2015,May,,,
CCF,352,352,U,2015,May,,,
CCF,355,375,U,2015,May,,,
CCF,355,,U,2015,May,,,
CCF,355,,U,2015,May,,,
CCF,359,340,U,2015,May,,,
CCF,359,380,U,2015,May,,,
CCF,359,,U,2015,May,,,
CCF,360,393,U,2015,May,,,
CCF,360,360,U,2015,May,,,
CCF,361,352,U,2015,May,,,
CCF,361,400,U,2015,May,,,
CCF,361,383,U,2015,May,,,
CCF,362,,U,2015,May,,,
CCF,364,384,U,2015,May,,,
CCF,365,416,U,2015,May,,,
CCF,365,,U,2015,May,,,
CCF,365,,U,2015,May,,,
CCF,365,,U,2015,May,,,
CCF,365,,U,2015,May,,,
CCF,365,,U,2015,May,,,
CCF,365,364,U,2015,May,,,
CCF,365,,U,2015,May,,,
CCF,366,,U,2015,May,,,
CCF,367,340,U,2015,May,,,
CCF,367,442,U,2015,May,,,
CCF,368,,U,2015,May,,,
CCF,369,412,U,2015,May,,,
CCF,369,380,U,2015,May,,,
CCF,369,372,U,2015,May,,,
CCF,372,,U,2015,May,,,
CCF,373,422,U,2015,May,,,
CCF,373,,U,2015,May,,,
CCF,374,350,U,2015,May,,,
CCF,377,454,U,2015,May,,,
CCF,378,400,U,2015,May,,,
CCF,378,492,U,2015,May,,,
CCF,378,500,U,2015,May,,,
CCF,379,,U,2015,May,,,
CCF,380,,U,2015,May,,,
CCF,380,420,U,2015,May,,,
CCF,380,,U,2015,May,,,
CCF,380,364,U,2015,May,,,
CCF,382,,U,2015,May,,,
CCF,382,474,U,2015,May,,,
CCF,385,,U,2015,May,,,
CCF,385,418,U,2015,May,,,
CCF,385,,U,2015,May,,,
CCF,385,,U,2015,May,,,
CCF,387,438,U,2015,May,,,
CCF,387,494,U,2015,May,,,
CCF,388,490,U,2015,May,,,
CCF,389,460,U,2015,May,,,
CCF,390,,U,2015,May,,,
CCF,390,440,U,2015,May,,,
CCF,390,498,U,2015,May,,,
CCF,390,434,U,2015,May,,,
CCF,391,568,U,2015,May,,,
CCF,391,482,U,2015,May,,,
CCF,392,508,U,2015,May,,,
CCF,392,,U,2015,May,,,
CCF,392,420,U,2015,May,,,
CCF,394,468,U,2015,May,,,
CCF,394,,U,2015,May,,,
CCF,395,,U,2015,May,,,
CCF,395,,U,2015,May,,,
CCF,395,,U,2015,May,,,
CCF,395,498,U,2015,May,,,
CCF,396,613,U,2015,May,,,
CCF,396,508,U,2015,May,,,
CCF,396,510,U,2015,May,,,
CCF,396,,U,2015,May,,,
CCF,397,458,U,2015,May,,,
CCF,397,,U,2015,May,,,
CCF,398,,U,2015,May,,,
CCF,398,1410,U,2015,May,,,
CCF,399,,U,2015,May,,,
CCF,400,520,U,2015,May,,,
CCF,400,,U,2015,May,,,
CCF,401,,U,2015,May,,,
CCF,402,,U,2015,May,,,
CCF,402,490,U,2015,May,,,
CCF,402,,U,2015,May,,,
CCF,403,532,U,2015,May,,,
CCF,404,520,U,2015,May,,,
CCF,404,,U,2015,May,,,
CCF,405,570,U,2015,May,,,
CCF,405,,U,2015,May,,,
CCF,405,,U,2015,May,,,
CCF,408,,U,2015,May,,,
CCF,408,500,U,2015,May,,,
CCF,409,670,U,2015,May,,,
CCF,409,560,U,2015,May,,,
CCF,410,,U,2015,May,,,
CCF,410,,U,2015,May,,,
CCF,410,,U,2015,May,,,
CCF,410,,U,2015,May,,,
CCF,410,538,U,2015,May,,,
CCF,410,,U,2015,May,,,
CCF,411,,U,2015,May,,,
CCF,413,680,U,2015,May,,,
CCF,413,530,U,2015,May,,,
CCF,413,530,U,2015,May,,,
CCF,414,552,U,2015,May,,,
CCF,415,562,U,2015,May,,,
CCF,415,,U,2015,May,,,
CCF,415,580,U,2015,May,,,
CCF,415,,U,2015,May,,,
CCF,415,,U,2015,May,,,
CCF,416,562,U,2015,May,,,
CCF,416,858,U,2015,May,,,
CCF,416,662,U,2015,May,,,
CCF,416,,U,2015,May,,,
CCF,418,,U,2015,May,,,
CCF,419,694,U,2015,May,,,
CCF,419,,U,2015,May,,,
CCF,419,,U,2015,May,,,
CCF,419,562,U,2015,May,,,
CCF,420,,U,2015,May,,,
CCF,420,,U,2015,May,,,
CCF,420,590,U,2015,May,,,
CCF,420,,U,2015,May,,,
CCF,421,637,U,2015,May,,,
CCF,422,,U,2015,May,,,
CCF,423,620,U,2015,May,,,
CCF,423,920,U,2015,May,,,
CCF,424,506,U,2015,May,,,
CCF,424,,U,2015,May,,,
CCF,425,,U,2015,May,,,
CCF,426,538,U,2015,May,,,
CCF,426,640,U,2015,May,,,
CCF,426,664,U,2015,May,,,
CCF,428,618,U,2015,May,,,
CCF,428,726,U,2015,May,,,
CCF,429,566,U,2015,May,,,
CCF,430,,U,2015,May,,,
CCF,431,576,U,2015,May,,,
CCF,432,,U,2015,May,,,
CCF,434,590,U,2015,May,,,
CCF,435,,U,2015,May,,,
CCF,435,,U,2015,May,,,
CCF,435,,U,2015,May,,,
CCF,436,,U,2015,May,,,
CCF,438,,U,2015,May,,,
CCF,438,651,U,2015,May,,,
CCF,438,608,U,2015,May,,,
CCF,438,,U,2015,May,,,
CCF,439,675,U,2015,May,,,
CCF,439,592,U,2015,May,,,
CCF,440,576,U,2015,May,,,
CCF,440,664,U,2015,May,,,
CCF,440,678,U,2015,May,,,
CCF,441,,U,2015,May,,,
CCF,442,718,U,2015,May,,,
CCF,445,668,U,2015,May,,,
CCF,445,650,U,2015,May,,,
CCF,445,800,U,2015,May,,,
CCF,446,,U,2015,May,,,
CCF,447,690,U,2015,May,,,
CCF,447,,U,2015,May,,,
CCF,447,762,U,2015,May,,,
CCF,448,682,U,2015,May,,,
CCF,448,,U,2015,May,,,
CCF,450,700,U,2015,May,,,
CCF,450,820,U,2015,May,,,
CCF,450,670,U,2015,May,,,
CCF,450,,U,2015,May,,,
CCF,450,770,U,2015,May,,,
CCF,452,,U,2015,May,,,
CCF,452,,U,2015,May,,,
CCF,453,712,U,2015,May,,,
CCF,455,875,U,2015,May,,,
CCF,455,,U,2015,May,,,
CCF,456,,U,2015,May,,,
CCF,456,,U,2015,May,,,
CCF,459,700,U,2015,May,,,
CCF,459,,U,2015,May,,,
CCF,459,810,U,2015,May,,,
CCF,460,840,U,2015,May,,,
CCF,460,872,U,2015,May,,,
CCF,460,824,U,2015,May,,,
CCF,460,,U,2015,May,,,
CCF,461,760,U,2015,May,,,
CCF,461,,U,2015,May,,,
CCF,461,,U,2015,May,,,
CCF,461,,U,2015,May,,,
CCF,461,796,U,2015,May,,,
CCF,462,,U,2015,May,,,
CCF,462,,U,2015,May,,,
CCF,463,874,U,2015,May,,,
CCF,463,782,U,2015,May,,,
CCF,463,,U,2015,May,,,
CCF,465,,U,2015,May,,,
CCF,468,840,U,2015,May,,,
CCF,468,566,U,2015,May,,,
CCF,469,810,U,2015,May,,,
CCF,469,770,U,2015,May,,,
CCF,469,864,U,2015,May,,,
CCF,469,,U,2015,May,,,
CCF,470,829,U,2015,May,,,
CCF,470,,U,2015,May,,,
CCF,471,896,U,2015,May,,,
CCF,472,,U,2015,May,,,
CCF,472,800,U,2015,May,,,
CCF,472,,U,2015,May,,,
CCF,473,888,U,2015,May,,,
CCF,474,888,U,2015,May,,,
CCF,474,,U,2015,May,,,
CCF,474,790,U,2015,May,,,
CCF,476,394,U,2015,May,,,
CCF,476,820,U,2015,May,,,
CCF,478,870,U,2015,May,,,
CCF,478,1035,U,2015,May,,,
CCF,478,933,U,2015,May,,,
CCF,479,922,U,2015,May,,,
CCF,480,940,U,2015,May,,,
CCF,480,,U,2015,May,,,
CCF,480,1026,U,2015,May,,,
CCF,481,1016,U,2015,May,,,
CCF,481,,U,2015,May,,,
CCF,482,,U,2015,May,,,
CCF,482,,U,2015,May,,,
CCF,483,980,U,2015,May,,,
CCF,483,940,U,2015,May,,,
CCF,484,898,U,2015,May,,,
CCF,484,882,U,2015,May,,,
CCF,485,970,U,2015,May,,,
CCF,485,960,U,2015,May,,,
CCF,485,,U,2015,May,,,
CCF,485,998,U,2015,May,,,
CCF,486,,U,2015,May,,,
CCF,487,956,U,2015,May,,,
CCF,488,1116,U,2015,May,,,
CCF,488,1056,U,2015,May,,,
CCF,489,1040,U,2015,May,,,
CCF,489,896,U,2015,May,,,
CCF,490,934,U,2015,May,,,
CCF,491,,U,2015,May,,,
CCF,491,984,U,2015,May,,,
CCF,492,,U,2015,May,,,
CCF,492,1178,U,2015,May,,,
CCF,493,1000,U,2015,May,,,
CCF,493,900,U,2015,May,,,
CCF,493,1030,U,2015,May,,,
CCF,495,,U,2015,May,,,
CCF,496,990,U,2015,May,,,
CCF,496,1086,U,2015,May,,,
CCF,497,820,U,2015,May,,,
CCF,497,943,U,2015,May,,,
CCF,498,,U,2015,May,,,
CCF,500,,U,2015,May,,,
CCF,500,1060,U,2015,May,,,
